model,data,k,max_iter,lambda_v,l2_reg,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity,story diversity
CDL,mind,10,10,0.01,0.001, 0.6047 , 0.5918 , 0.7693 , 0.5024 , 0.0033 , 0.0041 , 0.0098 , 0.0033 , 0.0078 , 0.0019 , 0.0197 ,0.30902791647326533,1.0259482385889656
CDL,mind,10,10,0.01,0.001, 0.6047 , 0.5918 , 0.7693 , 0.5024 , 0.0033 , 0.0041 , 0.0098 , 0.0033 , 0.0078 , 0.0019 , 0.0197 ,0.30902791647326533,1.0530293763099907
CDL,mind,10,10,0.01,0.001, 0.6047 , 0.5918 , 0.7693 , 0.5024 , 0.0033 , 0.0041 , 0.0098 , 0.0033 , 0.0078 , 0.0019 , 0.0197 ,0.30902791647326533,1.0269171423430885
CDL,mind,10,10,0.01,0.001, 0.6047 , 0.5918 , 0.7693 , 0.5024 , 0.0033 , 0.0041 , 0.0098 , 0.0033 , 0.0078 , 0.0019 , 0.0197 ,0.30902791647326533,1.112628551402574
CDL,mind,50,10,0.01,0.001, 0.5739 , 0.5344 , 0.7310 , 0.5880 , 0.0070 , 0.0063 , 0.0153 , 0.0057 , 0.0153 , 0.0040 , 0.0392 ,0.27127721501636953,1.349880664324481
CDL,mind,50,10,0.01,0.001, 0.5739 , 0.5344 , 0.7310 , 0.5880 , 0.0070 , 0.0063 , 0.0153 , 0.0057 , 0.0153 , 0.0040 , 0.0392 ,0.27127721501636953,1.3291844024990973
CDL,mind,50,10,0.01,0.001, 0.5739 , 0.5344 , 0.7310 , 0.5880 , 0.0070 , 0.0063 , 0.0153 , 0.0057 , 0.0153 , 0.0040 , 0.0392 ,0.27127721501636953,1.3359237146718415
CDL,mind,50,10,0.01,0.001, 0.5739 , 0.5344 , 0.7310 , 0.5880 , 0.0070 , 0.0063 , 0.0153 , 0.0057 , 0.0153 , 0.0040 , 0.0392 ,0.27127721501636953,1.2394932158831604
CDL,mind,100,10,0.01,0.001, 0.5490 , 0.4921 , 0.7015 , 0.6146 , 0.0061 , 0.0066 , 0.0146 , 0.0046 , 0.0125 , 0.0035 , 0.0306 ,0.4870832017419298,1.1600028351568368
CDL,mind,100,10,0.01,0.001, 0.5490 , 0.4921 , 0.7015 , 0.6146 , 0.0061 , 0.0066 , 0.0146 , 0.0046 , 0.0125 , 0.0035 , 0.0306 ,0.4870832017419298,1.1554923862272752
CDL,mind,100,10,0.01,0.001, 0.5490 , 0.4921 , 0.7015 , 0.6146 , 0.0061 , 0.0066 , 0.0146 , 0.0046 , 0.0125 , 0.0035 , 0.0306 ,0.4870832017419298,1.1498859191490027
CDL,mind,100,10,0.01,0.001, 0.5490 , 0.4921 , 0.7015 , 0.6146 , 0.0061 , 0.0066 , 0.0146 , 0.0046 , 0.0125 , 0.0035 , 0.0306 ,0.4870832017419298,1.1476484314575899
CDL,mind,200,10,0.01,0.001, 0.5344 , 0.4708 , 0.6862 , 0.6812 , 0.0075 , 0.0077 , 0.0150 , 0.0050 , 0.0168 , 0.0043 , 0.0484 ,0.3181513839204783,1.3491898058441545
CDL,mind,200,10,0.01,0.001, 0.5344 , 0.4708 , 0.6862 , 0.6812 , 0.0075 , 0.0077 , 0.0150 , 0.0050 , 0.0168 , 0.0043 , 0.0484 ,0.3181513839204783,1.2903521339692952
CDL,mind,200,10,0.01,0.001, 0.5344 , 0.4708 , 0.6862 , 0.6812 , 0.0075 , 0.0077 , 0.0150 , 0.0050 , 0.0168 , 0.0043 , 0.0484 ,0.3181513839204783,1.297534261670534
CDL,mind,200,10,0.01,0.001, 0.5344 , 0.4708 , 0.6862 , 0.6812 , 0.0075 , 0.0077 , 0.0150 , 0.0050 , 0.0168 , 0.0043 , 0.0484 ,0.3181513839204783,1.4767470653195243
CDL,mind,300,10,0.01,0.001, 0.5194 , 0.4449 , 0.6670 , 0.7144 , 0.0080 , 0.0091 , 0.0168 , 0.0055 , 0.0179 , 0.0045 , 0.0519 ,0.29583758718292985,1.2494239739146487
CDL,mind,300,10,0.01,0.001, 0.5194 , 0.4449 , 0.6670 , 0.7144 , 0.0080 , 0.0091 , 0.0168 , 0.0055 , 0.0179 , 0.0045 , 0.0519 ,0.29583758718292985,1.2950078821567743
CDL,mind,300,10,0.01,0.001, 0.5194 , 0.4449 , 0.6670 , 0.7144 , 0.0080 , 0.0091 , 0.0168 , 0.0055 , 0.0179 , 0.0045 , 0.0519 ,0.29583758718292985,1.2573674780857997
CDL,mind,300,10,0.01,0.001, 0.5194 , 0.4449 , 0.6670 , 0.7144 , 0.0080 , 0.0091 , 0.0168 , 0.0055 , 0.0179 , 0.0045 , 0.0519 ,0.29583758718292985,1.2815923057633165
CDL,mind,400,10,0.01,0.001, 0.5206 , 0.4473 , 0.6688 , 0.7125 , 0.0103 , 0.0099 , 0.0230 , 0.0079 , 0.0243 , 0.0058 , 0.0750 ,0.2709421509237354,1.1729169921327356
CDL,mind,400,10,0.01,0.001, 0.5206 , 0.4473 , 0.6688 , 0.7125 , 0.0103 , 0.0099 , 0.0230 , 0.0079 , 0.0243 , 0.0058 , 0.0750 ,0.2709421509237354,1.3689284586780073
CDL,mind,400,10,0.01,0.001, 0.5206 , 0.4473 , 0.6688 , 0.7125 , 0.0103 , 0.0099 , 0.0230 , 0.0079 , 0.0243 , 0.0058 , 0.0750 ,0.2709421509237354,1.2310263905007373
CDL,mind,400,10,0.01,0.001, 0.5206 , 0.4473 , 0.6688 , 0.7125 , 0.0103 , 0.0099 , 0.0230 , 0.0079 , 0.0243 , 0.0058 , 0.0750 ,0.2709421509237354,1.2447362892290004
