model,data,k,n_epochs,cnn_epochs,cnn_bs,cnn_lr,lambda_u,lambda_v,emb_dim,max_len,num_filters,hidden_dim,dropout_rate,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity,story diversity
Conv_mf,mind,10,10,5,128,0.001,1,100,200,300,100,200,0.2,0.0,0.0,0.0,0.7076,0.0127,0.0155,0.0386,0.0174,0.0345,0.0074,0.0803,0.29247192905736735,0.01035529639060549
Conv_mf,mind,50,5,5,128,0.001,1,100,200,300,100,200,0.2,0.0,0.0,0.0,0.6326,0.0075,0.0071,0.0263,0.0085,0.0166,0.0045,0.0375,0.8008326771683433,0.006183437883283891
Conv_mf,mind,100,5,5,128,0.001,1,100,200,300,100,200,0.2,0.0,0.0,0.0,0.5988,0.0067,0.0096,0.0277,0.0115,0.0186,0.0041,0.0351,0.46940804354865584,0.04124357224816788
Conv_mf,mind,200,5,5,128,0.001,1,100,200,300,100,200,0.2,0.0,0.0,0.0,0.524,0.0033,0.0035,0.0094,0.0025,0.0066,0.002,0.0161,0.18257364988818273,0.006560904486574628
Conv_mf,mind,300,5,5,128,0.001,1,100,200,300,100,200,0.2,0.0,0.0,0.0,0.5323,0.0028,0.0034,0.01,0.0025,0.0058,0.0017,0.0148,0.8507972796334449,0.013198428315189702
Conv_mf,mind,400,5,5,128,0.001,1,100,200,300,100,200,0.2,0.0,0.0,0.0,0.5127,0.0015,0.0029,0.0044,0.001,0.0041,0.0009,0.0148,1.1256427597095529,0.01822516777978173
Conv_mf,mind,300,5,5,128,0.001,10,100,200,300,100,200,0.2,0.0,0.0,0.0,0.5495,0.0042,0.0038,0.01,0.0028,0.0077,0.0025,0.0189,0.7161166988128607,0.008274452692399906
Conv_mf,mind,300,5,5,128,0.001,100,100,200,300,100,200,0.2,0.0,0.0,0.0,0.5866,0.0061,0.0053,0.014,0.0048,0.0135,0.0036,0.0367,0.25739493466368873,0.0017053178693166283
Conv_mf,mind,300,5,5,128,0.001,1000,100,200,300,100,200,0.2,0.0,0.0,0.0,0.523,0.0023,0.0033,0.0077,0.002,0.005,0.0014,0.0134,0.40605035368034664,0.0005968325217134946
Conv_mf,mind,300,5,5,128,0.001,100,10,200,300,100,200,0.2,0.0,0.0,0.0,0.7082,0.0219,0.0219,0.0698,0.0318,0.0579,0.0131,0.1276,0.642391776751164,0.005750565245649905
Conv_mf,mind,300,5,5,128,0.001,100,1,200,300,100,200,0.2,0.0,0.0,0.0,0.7276,0.0201,0.02,0.0601,0.0274,0.0513,0.0121,0.1173,1.2784116139858985,6.106475349412906e-06
Conv_mf,mind,300,5,5,128,0.001,100,1000,200,300,100,200,0.2,0.0,0.0,0.0,0.4968,0.0033,0.003,0.0071,0.0019,0.0064,0.002,0.019,0.5460548494459008,0.007949768042644002
