model,data,k,lambda_u,lambda_v,eta,a,b,max_iter,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity,story diversity
CTR,mind,10,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.6023,0.0116,0.0121,0.0455,0.018,0.0293,0.0069,0.06,1.1132982862491942,1.4689592254207955
CTR,mind,50,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.5831,0.0088,0.0111,0.033,0.0139,0.0249,0.005,0.0567,0.239911504754411,1.4662830734438659
CTR,mind,100,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.5372,0.0062,0.0079,0.0215,0.0087,0.0167,0.0036,0.0372,0.22646657238332812,1.2274197037927126
CTR,mind,200,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.5449,0.006,0.0089,0.0207,0.0089,0.0168,0.0035,0.0374,0.2197598396070089,1.3624207902401426
CTR,mind,300,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.5936,0.0077,0.0112,0.03,0.0131,0.0217,0.0045,0.0462,0.2621068314886044,1.4222101643963663
CTR,mind,400,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.5883,0.0073,0.0112,0.0291,0.013,0.0217,0.0043,0.0469,0.2581333917951102,1.2088983183944608
CTR,mind,500,0.01,0.01,0.01,1,0.01,10,0.0,0.0,0.0,0.5965,0.0075,0.0106,0.0287,0.0122,0.0211,0.0044,0.0468,0.2602979292103075,1.36410335185139
CTR,mind,400,0.01,0.1,0.01,1,0.01,10,0.0,0.0,0.0,0.5984,0.0072,0.0109,0.0271,0.0118,0.0207,0.0042,0.0452,0.2533211607178656,1.4718051630839
CTR,mind,400,0.01,1.0,0.01,1,0.01,10,0.0,0.0,0.0,0.62,0.0076,0.0111,0.0261,0.0114,0.021,0.0044,0.0471,0.24794737816218898,1.5081829190932745
CTR,mind,400,0.01,10.0,0.01,1,0.01,10,0.0,0.0,0.0,0.6308,0.0075,0.0102,0.0246,0.0101,0.0205,0.0044,0.0488,0.25429152535441835,1.5649867403745632
CTR,mind,400,0.01,100.0,0.01,1,0.01,10,0.0,0.0,0.0,0.6748,0.0108,0.0153,0.0432,0.0188,0.0341,0.0062,0.0865,2.6298190706243045,1.5265278051802473
CTR,mind,400,0.1,0.1,0.01,1,0.01,10,0.0,0.0,0.0,0.6026,0.007,0.0111,0.0289,0.0122,0.0206,0.0041,0.0447,0.2499707066368308,1.4429969587201958
CTR,mind,400,1.0,0.1,0.01,1,0.01,10,0.0,0.0,0.0,0.6282,0.0081,0.0108,0.0234,0.0102,0.0215,0.0047,0.0516,0.2390969237581832,1.3395862535621295
CTR,mind,400,10.0,0.1,0.01,1,0.01,10,0.0,0.0,0.0,0.689,0.0106,0.0132,0.0341,0.0146,0.0298,0.0061,0.0765,2.2994837219088935,1.309685001382068
CTR,mind,400,100.0,0.1,0.01,1,0.01,10,0.0,0.0,0.0,0.757,0.021,0.0206,0.0557,0.0263,0.0536,0.0123,0.1268,0.2692351375066459,0.9376505594864659
