model,data,k,lambda_u,lambda_v,eta,a,b,max_iter,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity
CTR,movielens-100K,10,0.01,0.01,0.01,1,0.01,10,0.8401,1.2007,1.0957,0.9006,0.1163,0.1025,0.2653,0.1364,0.1979,0.0842,0.3199,0.10033744023997579
CTR,movielens-100K,50,0.01,0.01,0.01,1,0.01,10,1.2712,2.5926,1.6102,0.8651,0.0976,0.081,0.2618,0.1217,0.1627,0.0722,0.2631,0.051563691146180916
CTR,movielens-100K,100,0.01,0.01,0.01,1,0.01,10,1.7526,4.3511,2.0859,0.8161,0.0632,0.0536,0.2014,0.0777,0.1025,0.0455,0.1892,0.059648415983780026
CTR,movielens-100K,10,0.01,0.1,0.01,1,0.01,10,0.8401,1.2006,1.0957,0.9006,0.1162,0.1025,0.2653,0.1364,0.1978,0.0842,0.3198,0.10033744023997579
CTR,movielens-100K,10,0.01,1.0,0.01,1,0.01,10,0.84,1.2001,1.0955,0.9006,0.1164,0.1026,0.2655,0.1365,0.1981,0.0843,0.3207,0.10033744023997579
CTR,movielens-100K,10,0.01,10.0,0.01,1,0.01,10,0.8386,1.1967,1.0939,0.9008,0.1163,0.1018,0.2629,0.1352,0.1974,0.0842,0.3215,0.11239542593885564
CTR,movielens-100K,10,0.01,100.0,0.01,1,0.01,10,0.8336,1.1835,1.0879,0.9014,0.1187,0.1021,0.2581,0.1346,0.1991,0.0859,0.326,0.11205451985737414
CTR,movielens-100K,10,0.01,1000.0,0.01,1,0.01,10,0.8269,1.1572,1.0757,0.8959,0.114,0.0997,0.2545,0.1316,0.1923,0.0828,0.3123,0.12405605576621292
CTR,movielens-100K,10,0.1,10.0,0.01,1,0.01,10,0.8344,1.1791,1.0859,0.9032,0.1187,0.1025,0.2626,0.1357,0.2006,0.0857,0.331,0.0972851299328016
CTR,movielens-100K,10,1.0,10.0,0.01,1,0.01,10,0.8288,1.1545,1.0745,0.9076,0.1241,0.109,0.2905,0.1486,0.2123,0.0898,0.3424,0.11005657125835847
CTR,movielens-100K,10,10.0,10.0,0.01,1,0.01,10,0.8451,1.1737,1.0834,0.9124,0.1313,0.1154,0.299,0.1566,0.2253,0.0949,0.3647,0.11489934647504975
