model,data,k,max_iter,grad_iter,lambda_text,l2_reg,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity,story diversity
HFT,mind,10,10,5,0.01,0.001,0.0,0.0,0.0,0.5047,0.003,0.0035,0.0091,0.0026,0.0075,0.0017,0.0236,0.16396560474705105,0.9045115577052535
HFT,mind,50,10,5,0.01,0.001,0.0,0.0,0.0,0.4918,0.0008,0.0026,0.0059,0.0011,0.0021,0.0005,0.0063,0.19043215399053856,1.267216020198324
HFT,mind,100,10,5,0.01,0.001,0.0,0.0,0.0,0.5207,0.0032,0.0031,0.0064,0.0015,0.0061,0.0019,0.0203,0.2994482672296015,1.238645938432165
HFT,mind,200,10,5,0.01,0.001,0.0,0.0,0.0,0.5009,0.0016,0.0028,0.0074,0.0018,0.0032,0.001,0.006,0.17147534416801316,0.7212621544088905
HFT,mind,300,10,5,0.01,0.001,0.0,0.0,0.0,0.5078,0.0007,0.0023,0.0036,0.0003,0.001,0.0004,0.0022,0.6952346382870473,0.7134748246574826
HFT,mind,400,10,5,0.01,0.001,0.0,0.0,0.0,0.5111,0.0011,0.0027,0.0036,0.001,0.0033,0.0006,0.0104,0.2829768282174946,0.833893953804446
HFT,mind,50,10,5,0.1,0.001,0.0,0.0,0.0,0.5048,0.002,0.0033,0.0109,0.0029,0.0048,0.0012,0.0118,0.7117619035128504,1.2760288635067285
HFT,mind,10,10,5,0.1,0.001,0.0,0.0,0.0,0.4974,0.0016,0.0027,0.0048,0.0008,0.0025,0.001,0.0064,0.8952004524817146,1.1745088443207166
HFT,mind,50,10,5,0.01,0.01,0.0,0.0,0.0,0.4976,0.0026,0.0055,0.0116,0.0051,0.0076,0.0016,0.0136,0.443079039674977,1.077328362262056
HFT,mind,50,10,5,0.01,0.1,0.0,0.0,0.0,0.4957,0.0014,0.0025,0.0051,0.0009,0.0025,0.0009,0.006,0.08683283281052173,1.0871930964606356
