model,data,k,max_iter,grad_iter,lambda_text,l2_reg,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity
HFT,movielens-100K,10,10,5,0.01,0.001,0.745,0.91,0.9539,0.6618,0.0476,0.0379,0.1403,0.055,0.0696,0.0381,0.0978,0.19221158137022604
HFT,movielens-100K,50,10,5,0.01,0.001,0.757,0.9397,0.9694,0.6559,0.047,0.0368,0.1269,0.0494,0.0668,0.0373,0.0952,0.19959275849372568
HFT,movielens-100K,100,10,5,0.01,0.001,0.7634,0.9471,0.9732,0.6595,0.0417,0.0343,0.1049,0.0405,0.0586,0.0329,0.0863,0.16955840437898917
HFT,movielens-100K,200,10,5,0.01,0.001,0.7498,0.9127,0.9553,0.6565,0.0406,0.033,0.0906,0.0349,0.0556,0.0313,0.0883,0.15096267166842275
HFT,movielens-100K,300,10,5,0.01,0.001,0.7539,0.9206,0.9595,0.6577,0.0366,0.0313,0.0848,0.0304,0.0493,0.0281,0.0797,0.1344581931463635
HFT,movielens-100K,400,10,5,0.01,0.001,0.7471,0.9015,0.9495,0.6598,0.0367,0.0315,0.0721,0.0276,0.0482,0.0282,0.0786,0.15969421280865836
HFT,movielens-100K,300,10,5,0.1,0.001,0.7544,0.9213,0.9599,0.6576,0.0364,0.0311,0.0825,0.0297,0.0489,0.0279,0.0793,0.1344581931463635
HFT,movielens-100K,300,10,5,0.001,0.001,0.7539,0.9206,0.9595,0.6577,0.0365,0.0313,0.085,0.0304,0.0493,0.028,0.0795,0.1344581931463635
HFT,movielens-100K,300,10,5,0.0001,0.001,0.7539,0.9206,0.9595,0.6577,0.0365,0.0313,0.0851,0.0304,0.0493,0.028,0.0796,0.1344581931463635
HFT,movielens-100K,200,10,5,0.001,0.001,0.7498,0.9127,0.9553,0.6565,0.0405,0.0331,0.0913,0.0351,0.0557,0.0312,0.0881,0.15096267166842275
HFT,movielens-100K,300,10,5,0.001,0.01,0.7538,0.9204,0.9594,0.6577,0.0364,0.0313,0.0849,0.0304,0.0492,0.0279,0.0794,0.1344581931463635
